Invoice Date,Invoicing month,Quarter,PO Number- Sales,Retailer Name,Supplier Onboarding Date,Supplier Onboarding Quarter,Commodity Name,Category Mix,Loading State,Customer Name,Customer Type,Buyer Onboarding Date,Buyer Onboarding Quarter,Unloading State,Geography Mix,Qty. Bought,Qty Price,COGS,Commodity Cost,Discount to Farmers,Gunny Bag / Crates / Box Cost,Commission Amt,Transportation Cost,Mandi Tax,Deductions To retailer,Total Cost,Qty Sold,Selling Price,Invoice Value,Credit note qty,Credit note value,Gross invoice,Cash discount,Bardana,Quality,Net Invoice Value,Difference,Rejections (Yes/No),Quantity Sold,COGS,Commodity Cost,Discount to Farmers,Gunny Bag / Crates / Box Cost,Commission Amt,Transportation Cost,Mandi Tax,Deductions To retailer,Total Cost,Total inventory,COGS for GM,GM,CM-I,CM-II,cm2 %,GM +ve Transactions,CM-I +ve Transactions,CM-II +ve Transactions,
44370,Jun-21,"Q1, FY 22",PA0138,Niranjan Prasad Sonkh Wala,Jun-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,I T C LIMITED,SME,Apr-21,"Q1, FY 22",Delhi,Delhi,,,,,,,,,,,, 367.45 ,2043.056664,750721.1712,-52.86,103191.1251,647530.0461,16744.08834,5441.828711,16707.87925,608636.2498,-49.61,,364.2,619937.6,613738.224,6199.376,22376,15795,26500,0,0,684608.6," 99,220 "," 6,13,738 ",33791.82214,-36321.00657,-75972.35, (11.7%),1,0,0,
44373,Jun-21,"Q1, FY 22",PA0133,Shukla Khad Bhandar,May-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,VIKAS PULSES PVT. LTD.,SME,Jun-21,"Q1, FY 22",Delhi,Delhi,,,,,,,,,,,, 202.90 ,1837.912821,372912.5113,0,0,372912.5113,7312.320082,2376.504027,7296.50719,355927.18,4.35,,198.55,314701.75,311554.7325,3147.0175,10920,7942,22000,0,0,355563.75, -   ," 3,11,555 ",61357.7788,18119.27477,363.43, 0.1% ,1,1,1,
44373,Jun-21,"Q1, FY 22",PA0134,PANNA LAL HARI SHANKER,Apr-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,VIKAS PULSES PVT. LTD.,SME,Jun-21,"Q1, FY 22",Delhi,Delhi,,,,,,,,,,,, 305.90 ,1832.778986,560647.0918,0,20504.65102,540142.4408,11395.61541,3703.575008,11370.97239,513672.278,-3.37,no,309.27,516480.9,511316.091,5164.809,15463,12962,52500,0,0,597405.9, -   ," 5,11,316 ",28826.34977,-55802.22524,-83733.62, (15.5%),1,0,0,
44373,Jun-21,"Q1, FY 22",PA0135,SAUMYA ENTERPRISES,Jun-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,R.G. Flour Mills,Processors,Jun-21,"Q1, FY 22",Delhi,Delhi,,,,,,,,,,,, 303.20 ,1837.912821,557255.1672,0,15449.11254,541806.0547,11229.97185,3649.740853,11205.68704,515720.6549,-2.15,,305.35,488560,483674.4,4885.6,16225,11256,50600,0,0,566641, -   ," 4,83,674 ",58131.65466,-23599.08619,-50920.35, (9.4%),1,0,0,
44371,Jun-21,"Q1, FY 22",PA0140,Shriram Fertilizer,Apr-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,Ganga Roller Flour Mills P Ltd.,Processors,May-21,"Q1, FY 22",Delhi,Delhi,,,,,,,,,,,, 326.35 ,1853.136226,604771.0075,0,4514.673276,600256.3342,11947.28464,3882.867509,11921.44864,572504.7334,-1.73,,328.08,543628.56,538192.2744,5436.2856,17716,9514,25590,0,0,596448.56, -   ," 5,38,192 ",62064.05984,5361.192331,-23943.83, (4.0%),1,1,0,
44370,Jun-21,"Q1, FY 22",PA0142,Satyabhan Seeds Retailer,Jun-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,I T C LIMITED,SME,Apr-21,"Q1, FY 22",Delhi,Delhi,,,,,,,,,,,, 304.05 ,2043.056664,621191.3787,-34.05,85858.77529,535332.6034,13864.31638,4505.902825,13834.3348,503128.0494,-34.05,,304.05,524486.25,519241.3875,5244.8625,16000,12885,19800,0,0,573171.25," 68,100 "," 5,19,241 ",16091.21593,-37099.6869,-70043.20, (13.1%),1,0,0,
44375,Jun-21,"Q1, FY 22",PA0144,SAUMYA ENTERPRISES,Jun-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,Ganga Roller Flour Mills P Ltd.,Processors,May-21,"Q1, FY 22",Delhi,Delhi,,,,,,,,,,,, 242.95 ,1868.715829,454004.5106,0,3468.607309,450535.9033,8970.4415,2915.393487,8951.04292,429699.0254,-3.65,,246.6,392094,388173.06,3920.94,12150,7578,20000,0,0,431822, -   ," 3,88,173 ",62362.84329,19719.4498,-2122.97, (0.5%),1,1,0,
44369,Jun-21,"Q1, FY 22",PA0146,Shubh Trading Company,Jun-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,Shri Shyam Ji Flour Mills,Processors,Jun-21,"Q1, FY 22",Uttarakhand,Uttarakhand,,,,,,,,,,,, 322.20 ,1833.512391,590757.6923,0,19149.11959,571608.5727,11959.4642,3886.825865,11933.60186,543828.6808,3.65,,318.55,502034.8,497014.452,5020.348,18150,12257,15465,0,0,547906.8, -   ," 4,97,014 ",74594.12074,24835.29488,-4078.12, (0.7%),1,1,0,
44375,Jun-21,"Q1, FY 22",PA0156,SAUMYA ENTERPRISES,Jun-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,Ganga Roller Flour Mills P Ltd.,Processors,May-21,"Q1, FY 22",Delhi,Delhi,,,,,,,,,,,, 149.93 ,1843.046634,276327.9819,0,6136.357361,270191.6245,5538.75131,1800.094176,5526.77376,257326.0053,-2.77,,152.7,240375.76,237972.0024,2403.7576,9800,4834,0,0,0,255009.76, -   ," 2,37,972 ",32219.62212,15785.52795,2316.25, 0.9% ,1,1,1,
44373,Jun-21,"Q1, FY 22",PA0139,ANAND TRADING COMPANY,May-21,"Q1, FY 22",Wheat,Wheat,Madhya Pradesh,R.G. Flour Mills,Processors,Jun-21,"Q1, FY 22",Delhi,Delhi,,,,,,,,,,,, 241.50 ,1832.778986,442616.1251,0,0,442616.1251,8679.115562,2820.712558,8660.346975,422455.95,-4.29,,245.79,386662.08,382795.4592,3866.6208,13956,9851,37500,0,0,447969.08, -   ," 3,82,795 ",59820.6659,-4307.046663,-25513.13, (5.8%),1,0,0,
44372,Jun-21,"Q1, FY 22",PA0141,Shriram Fertilizer,Apr-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,Ganga Roller Flour Mills P Ltd.,Processors,May-21,"Q1, FY 22",Delhi,Delhi,,,,,,,,,,,, 652.40 ,1868.715829,1219150.207,-326.2,614341.5231,604808.6836,35952.34268,11684.51137,35874.59574,521297.2338,-0.3,,326.5,541010.5,535600.395,5410.105,17631,9468,25467,0,0,593576.5, -   ," 5,35,600 ",69208.28858,4957.777205,-72279.27, (12.0%),1,1,0,
44373,Jun-21,"Q1, FY 22",PA0143,Shriram Fertilizer,Apr-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,R.G. Flour Mills,Processors,Jun-21,"Q1, FY 22",Delhi,Delhi,,,,,,,,,,,, 281.18 ,1832.778971,515340.7911,0,0,515340.7911,10105.14987,3284.173708,10083.29749,491868.17,2.46,,278.72,464626.24,459979.9776,4646.2624,15050,8082,18063,0,0,505821.24, -   ," 4,59,980 ",55360.81346,10881.63976,-13953.07, (2.7%),1,1,0,
44370,Jun-21,"Q1, FY 22",PA0145,Shree Krishna Traders,Jun-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,Samunnati Agro Solutions Private Limited,Processors,Jun-21,"Q1, FY 22",Uttar Pradesh,Uttar Pradesh,,,,,,,,,,,, 276.85 ,1919.530334,531421.973,-69.21,3033.038106,528388.9348,10479.95439,3405.985177,10457.29149,504045.7038,-65.61,,273.25,459333.25,454739.9175,4593.3325,14755,8197,12296,0,0,494581.25," 1,31,220 "," 4,54,740 ",73649.01735,34995.03217,9464.45, 1.8% ,1,1,1,
44375,Jun-21,"Q1, FY 22",PA0147,JAI MAA VAISHNO TRADERS,May-21,"Q1, FY 22",Maize,Maize,Uttar Pradesh,JAPFA COMFEED INDIA PVT. LTD.,Processors,Jun-21,"Q1, FY 22",Uttar Pradesh,Uttar Pradesh,,,,,,,,,,,, 311.10 ,1672.450444,520299.3332,0,2004.87578,518294.4575,5144.117946,3343.676665,7892.4144,501914.2484,4.03,,307.07,445251.5,440798.985,4452.515,15353,9212,48034,0,0,517850.5, -   ," 4,40,799 ",77495.47245,1552.795787,-15936.25, (3.1%),1,1,0,
44375,Jun-21,"Q1, FY 22",PA0148,Shanker Beez Bhandar,May-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,R.G. Flour Mills,Processors,Jun-21,"Q1, FY 22",Delhi,Delhi,,,,,,,,,,,, 303.30 ,1832.778986,555881.8664,0,0,555881.8664,10900.10663,3542.534653,10876.53515,530562.69,-0.65,,303.95,483280.5,478447.695,4832.805,15197,10639,55671,0,0,564787.5, -   ," 4,78,448 ",77434.17142,-7615.363229,-34224.81, (6.2%),1,0,0,
44375,Jun-21,"Q1, FY 22",PA0149,Shanker Beez Bhandar,May-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,Ganga Roller Flour Mills P Ltd.,Processors,May-21,"Q1, FY 22",Delhi,Delhi,,,,,,,,,,,, 302.27 ,1868.715822,564856.7315,0,4569.919623,560286.8118,11165.7019,3628.853118,11141.55607,534350.7008,-4.18,,306.45,487255.5,482382.945,4872.555,15322,10726,52096,0,0,565399.5, -   ," 4,82,383 ",77903.86684,-3868.986277,-31048.80, (5.5%),1,0,0,
44373,Jun-21,"Q1, FY 22",PA0150,PANNA LAL HARI SHANKER,Apr-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,R.G. Flour Mills,Processors,Jun-21,"Q1, FY 22",Delhi,Delhi,,,,,,,,,,,, 209.95 ,1832.779011,384791.9533,0,0,384791.9533,7545.260195,2452.209563,7528.94357,367265.54,-3.3,no,213.25,336561.81,333196.1919,3365.6181,10662,8903,65000,0,0,421126.81, -   ," 3,33,196 ",51595.76143,-35421.44813,-53861.27, (14.0%),1,0,0,
44373,Jun-21,"Q1, FY 22",PA0153,Niranjan Prasad Sonkh Wala,Jun-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,I T C LIMITED,SME,Apr-21,"Q1, FY 22",Delhi,Delhi,,,,,,,,,,,, 255.00 ,2043.056664,520979.4493,0,11561.08142,509418.3679,10442.41397,3393.78454,10419.83225,485162.3372,0,,255,436669.65,432302.9535,4366.6965,13600,10600,18850,0,0,479719.65, -   ," 4,32,303 ",77115.41443,30671.62989,5442.69, 1.1% ,1,1,1,
44370,Jun-21,"Q1, FY 22",PA0154,IRFAN TRENDING COMPANY,Apr-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,OLAM AGRI INDIA PRIVATE LIMITED,Enterprise,Jun-21,"Q1, FY 22",Uttarakhand,Uttarakhand,,,,,,,,,,,, 260.30 ,1833.512391,477263.2753,0,17481.231,459782.0443,9701.284027,3152.917309,9680.305,437247.538,5.2,,255.1,400507,396501.93,4005.07,14056,10012,19400,0,0,443975, -   ," 3,96,502 ",63280.11435,16659.19704,-6727.46, (1.5%),1,1,0,
44371,Jun-21,"Q1, FY 22",PA0155,Shubh Trading Company,Jun-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,OLAM AGRI INDIA PRIVATE LIMITED,Enterprise,Jun-21,"Q1, FY 22",Uttarakhand,Uttarakhand,,,,,,,,,,,, 339.25 ,1833.512391,622019.0786,0,19785.69414,602233.3845,12584.94093,4090.105804,12557.726,573000.6117,3.66,,335.59,528889.84,523600.9416,5288.8984,18150,14477,15697,0,0,577213.84, -   ," 5,23,601 ",78632.44286,26218.33705,-4213.23, (0.7%),1,1,0,
44373,Jun-21,"Q1, FY 22",PA0152,MAURYA BEEJ AND PESTICIDE,Jun-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,Sudhir food products india limited,Processors,Jun-21,"Q1, FY 22",Uttar Pradesh,Uttar Pradesh,,,,,,,,,,,, 184.40 ,1781.126323,328439.6939,0,13613.04371,314826.6502,6707.200822,2179.840267,6692.6965,299246.9126,0.1,,184.3,278293,275510.07,2782.93,10136.5,7372,17508,0,0,313309.5, -   ," 2,75,510 ",39316.58017,2120.2399,-14062.59, (4.5%),1,1,0,
44375,Jun-21,"Q1, FY 22",PA0157,Shriram Fertilizer,Apr-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,VIKAS PULSES PVT. LTD.,SME,Jun-21,"Q1, FY 22",Delhi,Delhi,,,,,,,,,,,, 405.02 ,1872.840408,758537.8222,-86.39,24249.63675,734288.1855,15349.42455,4988.562979,15316.23142,698633.9665,-99.67,,418.3,688521.8,681636.582,6885.218,22588,16732,35627,0,0,763468.8," 1,99,340 "," 6,81,637 ",52651.60345,-27283.95952,-64834.83, (8.8%),1,0,0,
44375,Jun-21,"Q1, FY 22",PA0160,PANNA LAL HARI SHANKER,Apr-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,R.G. Flour Mills,Processors,Jun-21,"Q1, FY 22",Delhi,Delhi,,,,,,,,,,,, 249.20 ,1832.778986,456728.5233,0,23386.45055,433342.0727,9414.418285,3059.685942,9394.059605,411473.9089,1.08,,248.12,391595.39,387679.4361,3915.9539,12406,10359,41500,0,0,455860.39, -   ," 3,87,679 ",45662.63664,-21662.0493,-44386.48, (10.2%),1,0,0,
44375,Jun-21,"Q1, FY 22",PA0158,Shriram Fertilizer,Apr-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,Ganga Roller Flour Mills P Ltd.,Processors,May-21,"Q1, FY 22",Delhi,Delhi,,,,,,,,,,,, 119.23 ,1843.046629,219746.4496,-74.67,1076.523227,218669.9263,4330.045814,1407.26489,4320.68209,208611.9335,-297.83,,342.39,563573.94,557938.2006,5635.7394,18489,13695,28676,0,0,624433.94," 5,95,660 "," 5,57,938 ",-339268.2743,-401535.5391,-415822.01, (190.2%),0,0,0,
44376,Jun-21,"Q1, FY 22",PA0161,VAHID KHAD BEEJ BHANDAR,May-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,VIKAS PULSES PVT. LTD.,SME,Jun-21,"Q1, FY 22",Delhi,Delhi,,,,,,,,,,,, 313.40 ,1837.912821,576001.878,0,10367.1191,565634.7589,11497.91885,3736.823626,11473.0546,538926.9618,5.82,,307.58,509044.9,503954.451,5090.449,16609,12303,22831,0,0,560787.9, -   ," 5,03,954 ",61680.30787,6200.484248,-21860.94, (3.9%),1,1,0,
44376,Jun-21,"Q1, FY 22",PA0162,PANNA LAL HARI SHANKER,Apr-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,VIKAS PULSES PVT. LTD.,SME,Jun-21,"Q1, FY 22",Delhi,Delhi,,,,,,,,,,,, 341.30 ,1837.912821,627279.6457,0,20070.15049,607209.4952,12693.67149,4125.443236,12666.22143,577724.159,0.51,,340.79,537851.82,532473.3018,5378.5182,17039,14227,54000,0,0,623117.82, -   ," 5,32,473 ",74736.19338,-14655.24986,-45393.66, (7.5%),1,0,0,
44377,Jun-21,"Q1, FY 22",PA0151,ANAND TRADING COMPANY,May-21,"Q1, FY 22",Wheat,Wheat,Madhya Pradesh,Mohit Enterprises,SME,Jun-21,"Q1, FY 22",Delhi,Delhi,,,,,,,,,,,, 362.50 ,1870.182639,677941.2065,0,33980.22321,643960.9833,13959.83564,4536.946584,13929.6475,611534.5536,0.41,,362.09,571258.53,565545.9447,5712.5853,18204,15227,56293,0,0,660982.53, -   ," 5,65,546 ",78415.03861,-15845.90797,-49447.98, (7.7%),1,0,0,
44372,Jun-21,"Q1, FY 22",PA0159,Shree Krishna Traders,Jun-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,Samunnati Agro Solutions Private Limited,Processors,Jun-21,"Q1, FY 22",Uttar Pradesh,Uttar Pradesh,,,,,,,,,,,, 298.70 ,1919.530315,573363.7051,-33.66,39960.09291,533403.6122,12026.46677,3908.6017,12000.45954,505468.0842,40,,225.04,378292.24,374509.3176,3782.9224,12150,6751,0,0,0,397193.24," -80,000 "," 3,74,509 ",158894.2946,136084.6929,108274.84, 20.3% ,1,1,1,
44373,Jun-21,"Q1, FY 22",PA0164,SATYA FERTILIZER,Jun-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,I T C LIMITED,SME,Apr-21,"Q1, FY 22",Delhi,Delhi,,,,,,,,,,,, 316.95 ,2043.056664,647546.8097,-30,78963.09235,568583.7173,14245.89625,4629.916281,14215.0895,535492.8153,0,,286.95,486199.47,481337.4753,4861.9947,16000,12876,22710,0,0,537785.47, -   ," 4,81,337 ",87246.24204,31030.32576,-2292.65, (0.4%),1,1,0,
44377,Jun-21,"Q1, FY 22",PA0165,Shanker Beez Bhandar,May-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,Ganga Roller Flour Mills P Ltd.,Processors,May-21,"Q1, FY 22",Delhi,Delhi,,,,,,,,,,,, 179.83 ,1853.314342,333281.5182,0,2208.900479,331072.6177,6578.522445,2138.019795,6564.29639,315791.779,-2.12,,181.95,289300.5,286407.495,2893.005,9097,6369,30931,0,0,335697.5, -   ," 2,86,407 ",44665.12267,-3869.897124,-19905.72, (6.0%),1,0,0,
44373,Jun-21,"Q1, FY 22",PA0168,Shree Krishna Traders,Jun-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,Samunnati Agro Solutions Private Limited,Processors,Jun-21,"Q1, FY 22",Uttar Pradesh,Uttar Pradesh,,,,,,,,,,,, 279.40 ,1919.530315,536316.77,0,7879.447112,528437.3229,10674.04996,3417.849831,10648.83734,503696.5858,3.63,,275.77,463569.37,458933.6763,4635.6937,14850,8273,12452,0,0,499144.37, -   ," 4,58,934 ",69503.64661,30510.79677,4552.22, 0.9% ,1,1,1,
44376,Jun-21,"Q1, FY 22",PA0169,VAHID KHAD BEEJ BHANDAR,May-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,Ganga Roller Flour Mills P Ltd.,Processors,May-21,"Q1, FY 22",Delhi,Delhi,,,,,,,,,,,, 253.31 ,1848.934836,468353.6833,0,5168.639998,463185.0433,9285.145146,3017.672173,9265.06602,441617.16,1.1,,252.21,402872.69,398843.9631,4028.7269,14535,10088,17380,0,0,444875.69, -   ," 3,98,844 ",64341.08024,19320.40807,-3258.53, (0.7%),1,1,0,
44374,Jun-21,"Q1, FY 22",PA0171,SATYA FERTILIZER,Jun-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,I T C LIMITED,SME,Apr-21,"Q1, FY 22",Delhi,Delhi,,,,,,,,,,,, 203.40 ,2043.056664,415557.7255,0,12895.87844,402661.847,8401.407293,2730.45737,8383.23925,383146.7431,0,,203.4,349302.89,345809.8611,3493.0289,11200,4600,15390,0,0,380492.89, -   ," 3,45,810 ",56851.98594,22931.52857,2653.85, 0.7% ,1,1,1,
44373,Jun-21,"Q1, FY 22",PA0174,MAURYA BEEJ AND PESTICIDE,Jun-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,OLAM AGRI INDIA PRIVATE LIMITED,Enterprise,Jun-21,"Q1, FY 22",Uttarakhand,Uttarakhand,,,,,,,,,,,, 225.15 ,1823.035177,410456.3701,0,12987.29213,397469.078,8303.168978,2698.529918,8285.213375,378182.1657,0,,225.15,346731,343263.69,3467.31,11257,7880,21389,0,0,387257, -   ," 3,43,264 ",54205.38802,10980.8581,-9074.83, (2.3%),1,1,0,
44376,Jun-21,"Q1, FY 22",PA0175,PANNA LAL HARI SHANKER,Apr-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,VIKAS PULSES PVT. LTD.,SME,Jun-21,"Q1, FY 22",Delhi,Delhi,,,,,,,,,,,, 347.90 ,1837.912821,639409.8703,0,20456.75968,618953.1106,12939.11002,4205.210755,12911.12919,588897.6606,0.45,,347.45,548362.96,542879.3304,5483.6296,17372,14506,55000,0,0,635240.96, -   ," 5,42,879 ",76073.78021,-15009.43054,-46343.30, (7.5%),1,0,0,
44374,Jun-21,"Q1, FY 22",PA0176,BABA TRADING COMPANY,Jun-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,J.U.B. AGRO FOODS PRIVATE LIMITED,Processors,Jun-21,"Q1, FY 22",Uttar Pradesh,Uttar Pradesh,,,,,,,,,,,, 274.15 ,1792.651258,491455.3423,0,9897.65,481557.6923,9636.787879,3131.956061,9615.948325,459173,5.48,,268.67,428528.65,424243.3635,4285.2865,14355,11169,21000,0,0,475052.65, -   ," 4,24,243 ",57314.32876,7658.372704,-15879.65, (3.3%),1,1,0,
44375,Jun-21,"Q1, FY 22",PA0172,Niranjan Prasad Sonkh Wala,Jun-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,I T C LIMITED,SME,Apr-21,"Q1, FY 22",Delhi,Delhi,,,,,,,,,,,, 341.45 ,2043.056664,697601.698,0,24881.53846,672720.1595,14166.93867,4604.255069,14136.30267,639812.6631,3.05,,338.4,582978.6,577148.814,5829.786,18048,14130,25380,0,0,640536.6, -   ," 5,77,149 ",95571.3455,33409.09043,-723.94, (0.1%),1,1,0,
44375,Jun-21,"Q1, FY 22",PA0182,KISHAN KHAD BHANDAR,May-21,"Q1, FY 22",Wheat,Wheat,Bihar,J.U.B. AGRO FOODS PRIVATE LIMITED,Processors,Jun-21,"Q1, FY 22",Uttar Pradesh,Uttar Pradesh,,,,,,,,,,,, 256.65 ,1792.651258,460083.9453,-3.08,7909.405752,452174.5395,9176.729327,2982.437031,9156.88465,430858.4885,2.05,,251.52,397401.6,393427.584,3974.016,13833,10060,15400,0,0,436694.6, -   ," 3,93,428 ",58746.95551,16471.51847,-5836.11, (1.3%),1,1,0,
44375,Jun-21,"Q1, FY 22",PA0183,M/S Jai Maa Durge Traders,Jun-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,J.U.B. AGRO FOODS PRIVATE LIMITED,Processors,Jun-21,"Q1, FY 22",Uttar Pradesh,Uttar Pradesh,,,,,,,,,,,, 236.85 ,1792.651258,424589.4504,-5.61,14852.86479,409736.5856,8616.881356,2800.486441,8598.24735,389720.9704,-5.61,,236.85,376591.5,372825.585,3765.915,9474,9474,20000,0,0,415539.5, -   ," 3,72,826 ",36911.00057,-4837.485874,-25818.53, (6.3%),1,0,0,
44375,Jun-21,"Q1, FY 22",pa0185,BABA TRADING COMPANY,Jun-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,J.U.B. AGRO FOODS PRIVATE LIMITED,Processors,Jun-21,"Q1, FY 22",Uttar Pradesh,Uttar Pradesh,,,,,,,,,,,, 298.30 ,1792.651258,534747.8701,-1.83,17135.79726,517612.0729,10821.70724,3517.054854,10798.3053,492475.0055,4.14,,292.33,466266.35,461603.6865,4662.6635,16137,11634,22500,0,0,516537.35, -   ," 4,61,604 ",56008.38637,2220.331521,-24062.34, (4.6%),1,1,0,
44377,Jun-21,"Q1, FY 22",PA0186,Shukla Khad Bhandar,May-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,Sudhir food products india limited,Processors,Jun-21,"Q1, FY 22",Uttar Pradesh,Uttar Pradesh,,,,,,,,,,,, 248.50 ,1781.126323,442609.8912,0,0,442609.8912,8678.993323,2820.67283,8660.225,422450,3.99,,244.51,389993.45,386093.5155,3899.9345,13200,10028,19050,0,0,432271.45, -   ," 3,86,094 ",56516.37565,11417.70282,-9821.45, (2.2%),1,1,0,
44376,Jun-21,"Q1, FY 22",PA0194,Kirti Seeds And Fertilizer,Jun-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,I T C LIMITED,SME,Apr-21,"Q1, FY 22",Delhi,Delhi,,,,,,,,,,,, 518.70 ,2032.57945,1054298.961,-274.82,558593.4846,495705.4764,31626.6831,10278.67201,31558.2904,422241.8309,-13.29,,257.17,421280.46,417067.6554,4212.8046,13080,10543,24451,0,0,469354.46," 26,580 "," 4,17,068 ",78637.82097,20285.14896,-47112.63, (9.5%),1,1,0,
44377,Jun-21,"Q1, FY 22",PA0198,PANNA LAL HARI SHANKER,Apr-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,J.U.B. AGRO FOODS PRIVATE LIMITED,Processors,Jun-21,"Q1, FY 22",Uttar Pradesh,Uttar Pradesh,,,,,,,,,,,, 259.20 ,1791.603536,464383.6366,-1.83,38039.61964,426344.0169,9851.854135,3201.852594,9830.5495,403459.7607,0.77,,256.6,404978.95,400929.1605,4049.7895,12830,10713,15000,0,0,443521.95, -   ," 4,00,929 ",25414.85644,-16329.99615,-40062.19, (9.4%),1,0,0,
44373,Jun-21,"Q1, FY 22",PA9999-1,Secondary Sales,Apr-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,Secondary Sale,SME,Jun-21,"Q1, FY 22",Secondary Sale,Others,,,,,,,,,,,," 1,481.25 ",1354.997265,2007089.699,-240,508684.4391,1498405.26,49330.9964,16032.57383,49224.31813,1383817.372,1241.25,no,0,0,0,0,0,0,0,0,0,0,, -   ,1498405.26,1482372.686,1383817.37, 92.4% ,1,1,1,
44358,Jun-21,"Q1, FY 22",PA0067-4,Secondary Sales,Apr-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,I T C LIMITED,SME,Apr-21,"Q1, FY 22",Uttar Pradesh,Uttar Pradesh,,,,,,,,,,,, 192.00 ,2011.625023,386232.0044,0,0,386232.0044,7573.497689,2461.386749,7557.12,368640,-2,,194,0,0,0,0,0,0,0,0,0, -   , -   ,386232.0044,383770.6177,368640.00, 95.4% ,1,1,1,
44378,Jul-21,"Q2, FY 22",PA0166,Power House,Jul-21,"Q2, FY 22",Maize,Maize,Uttar Pradesh,JAPFA COMFEED INDIA PVT. LTD.,Processors,Jun-21,"Q1, FY 22",Uttar Pradesh,Uttar Pradesh,,,,,,,,,,,, 309.40 ,1672.450444,517456.1675,0,167.2450444,517288.9224,5098.017285,3313.711235,7821.684,501055.5099,0.1,,309.3,451578,447062.22,4515.78,15774.3,12372,50488,0,0,530212.3, -   ," 4,47,062 ",70226.70243,-11721.3088,-29156.79, (5.6%),1,0,0,
44380,Jul-21,"Q2, FY 22",PA0167,Power House,Jul-21,"Q2, FY 22",Maize,Maize,Uttar Pradesh,BALAJI ENTERPRISES,SME,Jul-21,"Q2, FY 22",Uttar Pradesh,Uttar Pradesh,,,,,,,,,,,, 298.10 ,1909.897112,569340.3292,0,0,569340.3292,5607.371632,3644.791561,10504.166,549584,0.1,,298,435080,430729.2,4350.8,15198,11920,38740,0,0,500938, -   ," 4,30,729 ",138611.1292,69108.33763,48646.00, 8.5% ,1,1,1,
44378,Jul-21,"Q2, FY 22",PA0189,PANNA LAL HARI SHANKER,Apr-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,VIKAS PULSES PVT. LTD.,SME,Jun-21,"Q1, FY 22",Delhi,Delhi,,,,,,,,,,,, 396.50 ,1885.898459,747758.7391,0,35470.60685,712288.1322,15358.08937,4991.379045,15324.8775,676613.7863,-1.3,,397.8,624892.09,618643.1691,6248.9209,19797,16530,56000,0,0,717219.09, -   ," 6,18,643 ",93644.96311,-3673.415937,-40605.30, (5.7%),1,0,0,
